id_original,id_sospechoso,archivo_original,archivo_sospechoso,similitud,clasificacion,confianza
01513,01513,source-document01513.txt,suspicious-document01513.txt,0.8940048813819885,plagio,0.5760195255279541
01507,01507,source-document01507.txt,suspicious-document01507.txt,0.9233503341674805,plagio,0.6934013366699219
01506,01506,source-document01506.txt,suspicious-document01506.txt,0.9253941774368286,plagio,0.7015767097473145
01512,01512,source-document01512.txt,suspicious-document01512.txt,0.9400048851966858,plagio,0.7600195407867432
01504,01504,source-document01504.txt,suspicious-document01504.txt,0.9318904280662537,plagio,0.7275617122650146
01510,01510,source-document01510.txt,suspicious-document01510.txt,0.9367644786834717,plagio,0.7470579147338867
01538,01538,source-document01538.txt,suspicious-document01538.txt,0.9705270528793335,plagio,0.882108211517334
01539,01539,source-document01539.txt,suspicious-document01539.txt,-0.1558702141046524,original,1.2078269521395366
01511,01511,source-document01511.txt,suspicious-document01511.txt,0.9127267003059387,plagio,0.6509068012237549
01505,01505,source-document01505.txt,suspicious-document01505.txt,0.8943125605583191,plagio,0.5772502422332764
01529,01529,source-document01529.txt,suspicious-document01529.txt,0.9434871673583984,plagio,0.7739486694335938
01501,01501,source-document01501.txt,suspicious-document01501.txt,0.9168634414672852,plagio,0.6674537658691406
01515,01515,source-document01515.txt,suspicious-document01515.txt,0.85233074426651,plagio,0.40932297706604004
01514,01514,source-document01514.txt,suspicious-document01514.txt,0.8478860259056091,plagio,0.3915441036224365
01528,01528,source-document01528.txt,suspicious-document01528.txt,0.9375190734863281,plagio,0.7500762939453125
01516,01516,source-document01516.txt,suspicious-document01516.txt,0.6579922437667847,original,0.12267700831095374
01502,01502,source-document01502.txt,suspicious-document01502.txt,0.9608414173126221,plagio,0.8433656692504883
01503,01503,source-document01503.txt,suspicious-document01503.txt,0.9561452269554138,plagio,0.8245809078216553
01517,01517,source-document01517.txt,suspicious-document01517.txt,0.8521047830581665,plagio,0.408419132232666
01570,01570,source-document01570.txt,suspicious-document01570.txt,0.9530014991760254,plagio,0.8120059967041016
01564,01564,source-document01564.txt,suspicious-document01564.txt,0.923725962638855,plagio,0.6949038505554199
01558,01558,source-document01558.txt,suspicious-document01558.txt,0.9680086374282837,plagio,0.8720345497131348
01559,01559,source-document01559.txt,suspicious-document01559.txt,-0.01836162433028221,original,1.0244821657737095
01565,01565,source-document01565.txt,suspicious-document01565.txt,0.9425031542778015,plagio,0.770012617111206
01571,01571,source-document01571.txt,suspicious-document01571.txt,-0.21470250189304352,original,1.286270002524058
01598,01598,source-document01598.txt,suspicious-document01598.txt,0.7816818952560425,plagio,0.12672758102416992
01567,01567,source-document01567.txt,suspicious-document01567.txt,-0.2202332317829132,original,1.2936443090438843
01573,01573,source-document01573.txt,suspicious-document01573.txt,0.9310710430145264,plagio,0.7242841720581055
01572,01572,source-document01572.txt,suspicious-document01572.txt,-0.178628608584404,original,1.2381714781125386
01566,01566,source-document01566.txt,suspicious-document01566.txt,0.9538727402687073,plagio,0.8154909610748291
01599,01599,source-document01599.txt,suspicious-document01599.txt,0.944585919380188,plagio,0.778343677520752
01600,01600,source-document01600.txt,suspicious-document01600.txt,-0.20948760211467743,original,1.2793168028195698
01589,01589,source-document01589.txt,suspicious-document01589.txt,0.9107943773269653,plagio,0.6431775093078613
01562,01562,source-document01562.txt,suspicious-document01562.txt,0.7849133014678955,plagio,0.13965320587158203
01576,01576,source-document01576.txt,suspicious-document01576.txt,0.7076306939125061,original,0.056492408116658566
01577,01577,source-document01577.txt,suspicious-document01577.txt,0.9240339994430542,plagio,0.6961359977722168
01563,01563,source-document01563.txt,suspicious-document01563.txt,0.9792673587799072,plagio,0.9170694351196289
01588,01588,source-document01588.txt,suspicious-document01588.txt,0.9624024629592896,plagio,0.8496098518371582
01549,01549,source-document01549.txt,suspicious-document01549.txt,0.7926459908485413,plagio,0.17058396339416504
01575,01575,source-document01575.txt,suspicious-document01575.txt,0.8568961024284363,plagio,0.4275844097137451
01561,01561,source-document01561.txt,suspicious-document01561.txt,0.7388482689857483,original,0.014868974685668945
01560,01560,source-document01560.txt,suspicious-document01560.txt,0.9613332748413086,plagio,0.8453330993652344
01574,01574,source-document01574.txt,suspicious-document01574.txt,0.9144272804260254,plagio,0.6577091217041016
01548,01548,source-document01548.txt,suspicious-document01548.txt,0.9050426483154297,plagio,0.6201705932617188
01592,01592,source-document01592.txt,suspicious-document01592.txt,0.9604824185371399,plagio,0.8419296741485596
01586,01586,source-document01586.txt,suspicious-document01586.txt,0.9549698829650879,plagio,0.8198795318603516
01551,01551,source-document01551.txt,suspicious-document01551.txt,0.9182876348495483,plagio,0.6731505393981934
01545,01545,source-document01545.txt,suspicious-document01545.txt,0.9298137426376343,plagio,0.7192549705505371
01579,01579,source-document01579.txt,suspicious-document01579.txt,0.7224908471107483,original,0.036678870519002316
01578,01578,source-document01578.txt,suspicious-document01578.txt,0.9395924806594849,plagio,0.7583699226379395
01544,01544,source-document01544.txt,suspicious-document01544.txt,0.9150724411010742,plagio,0.6602897644042969
01550,01550,source-document01550.txt,suspicious-document01550.txt,0.9559167623519897,plagio,0.823667049407959
01587,01587,source-document01587.txt,suspicious-document01587.txt,0.9156965017318726,plagio,0.6627860069274902
01593,01593,source-document01593.txt,suspicious-document01593.txt,0.9803836345672607,plagio,0.921534538269043
